Watch_Time_Hours,User_Rating,Subscription_Type
7.7,1,Premium
7.85,1,Basic
7.91,1,Basic
7.96,1,Basic
7.96,1,Premium
7.98,1,Premium
8.06,1,Premium
8.09,1,Basic
8.15,1,Standard
8.16,1,Standard
8.21,1,Premium
8.37,1,Premium
8.38,1,Standard
8.41,1,Premium
8.45,1,Basic
8.46,1,Basic
8.51,1,Premium
8.53,1,Premium
8.55,1,Basic
8.56,1,Standard
8.57,1,Premium
8.58,1,Premium
8.59,1,Premium
8.62,1,Standard
8.63,1,Premium
8.77,1,Basic
8.78,1,Premium
8.8,1,Basic
8.88,1,Standard
8.95,1,Premium
8.96,1,Premium
8.99,1,Basic
9.08,1,Premium
9.12,1,Standard
9.22,1,Premium
9.26,1,Basic
9.34,1,Standard
9.47,1,Standard
9.51,1,Premium
9.6,1,Premium
9.63,1,Premium
9.71,1,Basic
9.72,1,Standard
9.75,1,Basic
9.82,1,Basic
9.97,1,Premium
9.97,1,Standard
9.98,1,Basic
9.99,1,Standard
10.04,1,Standard
10.06,1,Premium
10.08,1,Basic
10.15,1,Basic
10.16,1,Basic
10.19,1,Basic
10.27,1,Basic
10.31,1,Basic
10.31,1,Premium
10.31,1,Standard
10.36,1,Basic
10.38,1,Premium
10.38,1,Standard
10.42,1,Premium
10.44,1,Premium
10.44,1,Standard
10.55,1,Standard
10.82,1,Premium
10.83,1,Basic
10.92,1,Premium
10.96,1,Basic
11,1,Standard
11.02,1,Basic
11.03,1,Basic
11.05,1,Standard
11.16,1,Standard
11.23,1,Standard
11.25,1,Premium
11.43,1,Premium
11.44,1,Premium
11.61,1,Basic
11.63,1,Premium
11.65,1,Basic
11.73,1,Premium
11.76,1,Premium
11.77,1,Premium
11.82,1,Basic
11.83,1,Basic
12,1,Premium
12.04,1,Basic
12.1,1,Premium
12.16,1,Standard
12.31,1,Basic
12.4,1,Standard
12.43,1,Premium
12.44,1,Basic
12.47,1,Premium
12.48,1,Basic
12.52,1,Standard
12.55,1,Standard
12.66,1,Basic
12.68,1,Standard
12.71,1,Premium
12.75,1,Premium
12.76,1,Basic
12.77,1,Standard
12.78,1,Basic
12.79,1,Standard
12.82,1,Premium
12.84,1,Standard
12.9,1,Premium
12.93,1,Basic
13,1,Standard
13.01,1,Basic
13.01,1,Standard
13.13,1,Standard
13.2,1,Standard
13.22,1,Premium
13.23,1,Premium
13.23,1,Standard
13.29,1,Basic
13.35,1,Standard
13.41,1,Premium
13.45,1,Premium
13.5,1,Standard
13.53,1,Standard
13.55,1,Basic
13.56,1,Basic
13.77,1,Standard
13.85,1,Standard
13.86,1,Standard
13.9,1,Basic
13.97,1,Basic
13.98,1,Premium
14.01,1,Basic
14.06,1,Premium
14.08,1,Standard
14.14,1,Basic
14.15,1,Premium
14.16,1,Premium
14.18,1,Standard
14.28,1,Basic
14.29,1,Premium
14.3,1,Standard
14.34,1,Premium
14.35,1,Basic
14.36,1,Standard
14.43,1,Premium
14.51,1,Standard
14.74,1,Standard
14.85,1,Standard
15.05,1,Premium
15.13,1,Standard
15.27,1,Premium
15.33,1,Standard
15.35,1,Basic
15.38,1,Standard
15.41,1,Basic
15.44,1,Premium
15.53,1,Basic
15.55,1,Premium
15.6,1,Standard
15.62,1,Standard
15.69,1,Basic
15.72,1,Standard
15.77,1,Standard
15.78,1,Premium
15.8,1,Premium
15.83,1,Premium
15.85,1,Standard
15.88,1,Premium
15.9,1,Basic
15.96,1,Premium
15.97,1,Premium
16,1,Premium
16.13,1,Premium
16.15,1,Standard
16.22,1,Standard
16.23,1,Basic
16.33,1,Standard
16.39,1,Basic
16.4,1,Standard
16.48,1,Premium
16.49,1,Premium
16.5,1,Basic
16.53,1,Premium
16.56,1,Standard
16.59,1,Basic
16.71,1,Basic
16.85,1,Standard
16.86,1,Basic
16.91,1,Basic
16.97,1,Basic
17.03,1,Basic
17.03,1,Standard
17.08,1,Basic
17.09,1,Standard
17.17,1,Standard
17.2,1,Premium
17.27,1,Basic
17.3,1,Basic
17.31,1,Basic
17.34,1,Standard
17.36,1,Basic
17.37,1,Premium
17.49,1,Premium
17.5,1,Basic
17.5,1,Standard
17.51,1,Premium
17.53,1,Standard
17.57,1,Premium
17.63,1,Premium
17.65,1,Premium
17.71,1,Premium
17.77,1,Basic
17.92,1,Basic
17.94,1,Basic
17.96,1,Premium
18,1,Basic
18.02,1,Standard
18.03,1,Premium
18.14,1,Standard
18.2,1,Premium
18.28,1,Basic
18.28,1,Premium
18.32,1,Standard
18.48,1,Premium
18.5,1,Basic
18.58,1,Basic
18.62,1,Premium
18.62,1,Standard
18.65,1,Standard
18.69,1,Standard
18.75,1,Basic
18.75,1,Standard
18.76,1,Basic
18.76,1,Standard
18.78,1,Premium
18.87,1,Basic
18.95,1,Basic
19.01,1,Standard
19.06,1,Premium
19.08,1,Premium
19.23,1,Basic
19.29,1,Standard
19.3,1,Premium
19.33,1,Basic
19.34,1,Basic
19.38,1,Premium
19.39,1,Premium
19.42,1,Basic
19.5,1,Standard
19.6,1,Standard
19.62,1,Premium
19.7,1,Premium
19.76,1,Standard
19.84,1,Basic
19.88,1,Premium
19.96,1,Premium
20.02,1,Basic
20.03,1,Premium
20.07,1,Basic
20.2,1,Premium
20.21,1,Standard
20.24,1,Premium
20.25,1,Basic
20.48,1,Basic
20.49,1,Standard
20.52,1,Premium
20.69,1,Standard
20.7,1,Standard
20.74,1,Standard
20.77,1,Basic
20.8,1,Standard
20.84,1,Premium
20.98,1,Premium
20.98,1,Standard
21.03,1,Premium
21.11,1,Basic
21.17,1,Premium
21.17,1,Standard
21.18,1,Basic
21.19,1,Premium
21.25,1,Standard
21.3,1,Standard
21.36,1,Premium
21.41,1,Basic
21.52,1,Basic
21.53,1,Basic
21.55,1,Standard
21.58,1,Standard
21.59,1,Basic
21.61,1,Standard
21.62,1,Premium
21.72,1,Basic
21.78,1,Premium
21.84,1,Basic
21.95,1,Basic
21.95,1,Standard
21.96,1,Premium
21.97,1,Standard
22.05,1,Standard
22.07,1,Premium
22.09,1,Standard
22.11,1,Basic
22.12,1,Premium
22.22,1,Standard
22.26,1,Basic
22.27,1,Standard
22.29,1,Standard
22.32,1,Basic
22.39,1,Premium
22.5,1,Basic
22.55,1,Premium
22.56,1,Standard
22.61,1,Premium
22.69,1,Basic
22.71,1,Standard
22.73,1,Basic
22.74,1,Standard
22.78,1,Basic
22.8,1,Premium
22.8,1,Standard
22.87,1,Basic
22.94,1,Premium
22.95,1,Basic
23.01,1,Standard
23.08,1,Premium
23.13,1,Basic
23.2,1,Standard
23.22,1,Standard
23.28,1,Premium
23.35,1,Standard
23.42,1,Premium
23.5,1,Premium
23.5,1,Standard
23.55,1,Basic
23.56,1,Premium
23.58,1,Standard
23.62,1,Standard
23.66,1,Premium
23.88,1,Premium
23.93,1,Basic
23.96,1,Basic
23.96,1,Standard
24.02,1,Basic
24.03,1,Basic
24.05,1,Standard
24.07,1,Basic
24.12,1,Premium
24.14,1,Standard
24.2,1,Standard
24.23,1,Premium
24.25,1,Basic
24.26,1,Standard
24.3,1,Standard
24.34,1,Standard
24.37,1,Standard
24.38,1,Premium
24.42,1,Basic
24.45,1,Premium
24.5,1,Premium
24.51,1,Premium
24.61,1,Standard
24.66,1,Premium
24.72,1,Standard
24.78,1,Standard
24.87,1,Basic
24.91,1,Basic
24.91,1,Premium
24.93,1,Basic
24.95,1,Basic
24.99,1,Standard
25,1,Premium
25.05,1,Premium
25.12,1,Premium
25.12,1,Standard
25.13,1,Premium
25.15,1,Premium
25.18,1,Basic
25.2,1,Standard
25.24,1,Basic
25.32,1,Standard
25.39,1,Basic
25.44,1,Standard
25.45,1,Basic
25.48,1,Premium
25.51,1,Premium
25.53,1,Basic
25.54,1,Premium
25.56,1,Premium
25.57,1,Basic
25.6,1,Premium
25.68,1,Basic
25.77,1,Premium
25.8,1,Basic
25.82,1,Basic
25.82,1,Premium
25.86,1,Premium
25.88,1,Basic
25.88,1,Standard
25.89,1,Premium
25.91,1,Premium
25.94,1,Premium
25.95,1,Basic
25.96,1,Premium
25.98,1,Premium
26.04,1,Basic
26.13,1,Premium
26.14,1,Premium
26.15,1,Standard
26.16,1,Premium
26.17,1,Standard
26.19,1,Premium
26.28,1,Standard
26.37,1,Premium
26.4,1,Standard
26.41,1,Basic
26.45,1,Premium
26.46,1,Premium
26.48,1,Basic
26.52,1,Premium
26.54,1,Standard
26.67,1,Basic
26.77,1,Standard
26.81,1,Basic
26.85,1,Standard
26.88,1,Basic
26.9,1,Basic
26.9,1,Standard
26.92,1,Premium
26.95,1,Standard
27.07,1,Basic
27.1,1,Basic
27.12,1,Standard
27.14,1,Standard
27.15,1,Basic
27.15,1,Premium
27.19,1,Standard
27.24,1,Basic
27.29,1,Premium
27.34,1,Premium
27.35,1,Standard
27.48,1,Premium
27.6,1,Standard
27.64,1,Premium
27.71,1,Premium
27.75,1,Premium
27.87,1,Standard
27.93,1,Basic
27.94,1,Basic
27.95,1,Basic
27.97,1,Standard
28,1,Premium
28.01,1,Premium
28.02,1,Basic
28.05,1,Basic
28.1,1,Premium
28.12,1,Standard
28.24,1,Premium
28.36,1,Basic
28.38,1,Standard
28.4,1,Standard
28.43,1,Basic
28.5,1,Premium
28.53,1,Basic
28.59,1,Premium
28.6,1,Basic
28.63,1,Standard
28.64,1,Premium
28.68,1,Premium
28.69,1,Basic
28.76,1,Standard
28.77,1,Basic
28.86,1,Basic
28.88,1,Premium
28.92,1,Basic
28.92,1,Premium
28.93,1,Basic
28.99,1,Basic
29.01,1,Basic
29.02,1,Standard
29.05,1,Standard
29.07,1,Premium
29.08,1,Standard
29.1,1,Standard
29.11,1,Basic
29.2,1,Basic
29.21,1,Basic
29.3,1,Premium
29.31,1,Standard
29.33,1,Premium
29.34,1,Standard
29.4,1,Premium
29.41,1,Basic
29.41,1,Standard
29.47,1,Premium
29.52,1,Standard
29.53,1,Premium
29.55,1,Premium
29.61,1,Standard
29.63,1,Premium
29.64,1,Basic
29.74,1,Premium
29.84,1,Basic
29.9,1,Basic
29.96,1,Standard
29.98,1,Standard
30.07,1,Premium
30.07,1,Standard
30.08,1,Basic
30.1,1,Basic
30.29,1,Premium
30.36,1,Standard
30.37,1,Standard
30.38,1,Standard
30.39,1,Standard
30.42,1,Standard
30.49,1,Standard
30.51,1,Standard
30.52,1,Premium
30.63,1,Basic
30.63,1,Standard
30.71,1,Premium
30.8,1,Premium
30.86,1,Basic
30.89,1,Premium
30.92,1,Premium
31.01,1,Standard
31.05,1,Standard
31.08,1,Basic
31.11,1,Standard
31.12,1,Standard
31.15,1,Premium
31.27,1,Basic
31.38,1,Standard
31.41,1,Basic
31.41,1,Premium
31.43,1,Standard
31.45,1,Standard
31.46,1,Standard
31.49,1,Basic
31.51,1,Standard
31.65,1,Standard
31.72,1,Basic
31.72,1,Standard
31.73,1,Premium
31.74,1,Standard
31.84,1,Basic
31.87,1,Basic
31.88,1,Standard
32.02,1,Standard
32.05,1,Premium
32.07,1,Premium
32.12,1,Premium
32.12,1,Standard
32.21,1,Basic
32.3,1,Premium
32.34,1,Standard
32.35,1,Premium
32.39,1,Standard
32.43,1,Premium
32.45,1,Premium
32.49,1,Premium
32.5,1,Standard
32.52,1,Basic
32.53,1,Basic
32.53,1,Standard
32.55,1,Basic
32.67,1,Basic
32.69,1,Standard
32.72,1,Premium
32.77,1,Standard
32.89,1,Premium
32.9,1,Standard
32.94,1,Basic
32.99,1,Premium
33.06,1,Premium
33.07,1,Basic
33.09,1,Premium
33.11,1,Standard
33.16,1,Basic
33.24,1,Basic
33.29,1,Standard
33.34,1,Basic
33.39,1,Standard
33.42,1,Premium
33.42,1,Standard
33.46,1,Standard
33.48,1,Basic
33.51,1,Standard
33.56,1,Premium
33.58,1,Basic
33.59,1,Basic
33.6,1,Basic
33.62,1,Basic
33.65,1,Premium
33.86,1,Premium
33.86,1,Standard
33.95,1,Basic
33.99,1,Standard
34.01,1,Basic
34.02,1,Standard
34.07,1,Standard
34.13,1,Premium
34.2,1,Premium
34.21,1,Standard
34.23,1,Premium
34.28,1,Basic
34.33,1,Basic
34.35,1,Basic
34.36,1,Standard
34.38,1,Standard
34.52,1,Premium
34.52,1,Standard
34.53,1,Premium
34.54,1,Standard
34.59,1,Basic
34.59,1,Premium
34.6,1,Standard
34.61,1,Basic
34.63,1,Standard
34.78,1,Premium
34.81,1,Standard
34.87,1,Basic
34.99,1,Basic
35.04,1,Standard
35.09,1,Premium
35.1,1,Standard
35.13,1,Standard
35.16,1,Premium
35.18,1,Standard
35.21,1,Premium
35.21,1,Standard
35.35,1,Premium
35.38,1,Basic
35.38,1,Premium
35.47,1,Standard
35.52,1,Premium
35.56,1,Basic
35.59,1,Standard
35.66,1,Basic
35.69,1,Basic
35.69,1,Premium
35.74,1,Standard
35.77,1,Premium
35.8,1,Basic
35.8,1,Premium
35.82,1,Basic
35.85,1,Standard
35.88,1,Standard
35.89,1,Basic
35.89,1,Standard
35.93,1,Standard
35.96,1,Basic
36.01,1,Standard
36.04,1,Basic
36.06,1,Premium
36.07,1,Basic
36.08,1,Premium
36.15,1,Standard
36.2,1,Premium
36.23,1,Basic
36.27,1,Standard
36.31,1,Premium
36.49,1,Basic
36.5,1,Standard
36.54,1,Premium
36.58,1,Standard
36.74,1,Premium
36.78,1,Basic
36.79,1,Basic
36.84,1,Standard
36.85,1,Premium
36.89,1,Standard
36.9,1,Basic
36.96,1,Basic
36.98,1,Premium
37,1,Premium
37.04,1,Basic
37.06,1,Premium
37.21,1,Premium
37.26,1,Premium
37.28,1,Premium
37.31,1,Standard
37.38,1,Premium
37.56,1,Premium
37.6,1,Basic
37.6,1,Standard
37.64,1,Basic
37.69,1,Basic
37.73,1,Standard
37.77,1,Premium
37.87,1,Premium
37.88,1,Standard
37.95,1,Basic
38.15,1,Basic
38.23,1,Premium
38.27,1,Standard
38.35,1,Standard
38.38,1,Premium
38.47,1,Premium
38.49,1,Premium
38.53,1,Standard
38.69,1,Premium
38.8,1,Premium
38.97,1,Premium
39.04,1,Basic
39.07,1,Standard
39.17,1,Premium
39.28,1,Basic
39.32,1,Standard
39.34,1,Premium
39.41,1,Premium
39.56,1,Basic
39.64,1,Premium
39.67,1,Premium
39.7,1,Basic
39.75,1,Premium
39.77,1,Premium
39.83,1,Premium
39.9,1,Standard
39.95,1,Basic
39.96,1,Premium
39.97,1,Premium
40.02,1,Premium
40.09,1,Premium
40.1,1,Basic
40.1,1,Standard
40.15,1,Basic
40.16,1,Standard
40.22,1,Premium
40.26,1,Premium
40.29,1,Standard
40.37,1,Standard
40.38,1,Standard
40.4,1,Basic
40.46,1,Standard
40.55,1,Premium
40.56,1,Premium
40.62,1,Standard
40.64,1,Premium
40.65,1,Standard
40.71,1,Standard
40.79,1,Standard
40.8,1,Premium
40.86,1,Basic
40.91,1,Basic
40.91,1,Premium
40.93,1,Standard
40.96,1,Basic
40.96,1,Premium
40.97,1,Standard
41.01,1,Premium
41.01,1,Standard
41.06,1,Standard
41.07,1,Basic
41.09,1,Standard
41.12,1,Standard
41.13,1,Standard
41.17,1,Basic
41.21,1,Standard
41.28,1,Basic
41.32,1,Basic
41.34,1,Basic
41.36,1,Basic
41.39,1,Basic
41.41,1,Standard
41.43,1,Standard
41.46,1,Basic
41.48,1,Basic
41.48,1,Standard
41.49,1,Standard
41.56,1,Premium
41.58,1,Standard
41.63,1,Premium
41.64,1,Standard
41.77,1,Standard
41.89,1,Basic
41.91,1,Basic
41.97,1,Premium
42.14,1,Standard
42.2,1,Basic
42.24,1,Basic
42.28,1,Standard
42.3,1,Standard
42.36,1,Premium
42.36,1,Standard
42.39,1,Standard
42.41,1,Standard
42.46,1,Basic
42.49,1,Standard
42.5,1,Standard
42.52,1,Premium
42.6,1,Premium
42.64,1,Standard
42.66,1,Basic
42.81,1,Basic
42.85,1,Basic
42.85,1,Premium
42.98,1,Standard
42.99,1,Basic
43.07,1,Premium
43.07,1,Standard
43.08,1,Premium
43.24,1,Standard
43.25,1,Premium
43.25,1,Standard
43.32,1,Basic
43.42,1,Premium
43.42,1,Standard
43.44,1,Premium
43.49,1,Basic
43.5,1,Premium
43.51,1,Standard
43.59,1,Premium
43.63,1,Standard
43.68,1,Basic
43.69,1,Basic
43.7,1,Basic
43.73,1,Premium
43.79,1,Standard
43.82,1,Basic
43.85,1,Standard
43.87,1,Basic
43.87,1,Premium
43.91,1,Basic
43.92,1,Standard
43.93,1,Premium
44.21,1,Premium
44.22,1,Premium
44.48,1,Basic
44.5,1,Standard
44.56,1,Basic
44.56,1,Premium
44.57,1,Premium
44.63,1,Basic
44.63,1,Standard
44.7,1,Basic
44.72,1,Basic
44.75,1,Standard
44.78,1,Premium
44.82,1,Premium
44.9,1,Basic
44.93,1,Standard
45,1,Premium
45.01,1,Basic
45.11,1,Basic
45.13,1,Basic
45.14,1,Standard
45.21,1,Standard
45.25,1,Premium
45.26,1,Standard
45.32,1,Basic
45.37,1,Standard
45.41,1,Basic
45.41,1,Standard
45.47,1,Basic
45.49,1,Basic
45.5,1,Premium
45.52,1,Basic
45.55,1,Basic
45.56,1,Basic
45.58,1,Basic
45.62,1,Basic
45.63,1,Standard
45.65,1,Standard
45.68,1,Premium
45.74,1,Basic
45.75,1,Standard
45.86,1,Basic
45.88,1,Standard
45.9,1,Basic
45.92,1,Basic
45.96,1,Standard
46.03,1,Standard
46.04,1,Premium
46.04,1,Standard
46.19,1,Premium
46.22,1,Basic
46.22,1,Standard
46.24,1,Standard
46.26,1,Basic
46.27,1,Standard
46.29,1,Premium
46.3,1,Standard
46.31,1,Basic
46.36,1,Premium
46.42,1,Basic
46.44,1,Basic
46.5,1,Standard
46.51,1,Standard
46.57,1,Standard
46.63,1,Basic
46.68,1,Basic
46.74,1,Standard
46.75,1,Premium
46.79,1,Standard
46.8,1,Premium
46.81,1,Standard
46.82,1,Premium
46.85,1,Standard
46.87,1,Standard
46.92,1,Standard
47.01,1,Basic
47.05,1,Premium
47.2,1,Basic
47.28,1,Basic
47.28,1,Standard
47.3,1,Premium
47.4,1,Premium
47.45,1,Premium
47.47,1,Premium
47.48,1,Premium
47.49,1,Basic
47.55,1,Standard
47.58,1,Standard
47.63,1,Standard
47.71,1,Basic
47.72,1,Premium
47.74,1,Standard
47.76,1,Premium
47.77,1,Basic
47.79,1,Premium
47.82,1,Basic
47.82,1,Standard
47.86,1,Premium
47.87,1,Standard
47.91,1,Standard
47.98,1,Standard
48.03,1,Basic
48.1,1,Standard
48.17,1,Basic
48.29,1,Standard
48.4,1,Premium
48.46,1,Basic
48.56,1,Basic
48.59,1,Premium
48.63,1,Basic
48.63,1,Premium
48.69,1,Basic
48.8,1,Basic
48.85,1,Premium
48.92,1,Standard
48.93,1,Premium
48.93,1,Standard
48.98,1,Basic
48.98,1,Standard
49.01,1,Standard
49.05,1,Standard
49.06,1,Premium
49.21,1,Basic
49.22,1,Basic
49.24,1,Premium
49.29,1,Premium
49.38,1,Standard
49.39,1,Premium
49.45,1,Premium
49.47,1,Premium
49.48,1,Basic
49.48,1,Premium
49.59,1,Basic
49.67,1,Premium
49.68,1,Basic
49.69,1,Standard
49.72,1,Basic
49.76,1,Premium
49.8,1,Basic
49.81,1,Standard
49.82,1,Premium
49.83,1,Standard
49.91,1,Premium
49.92,1,Standard
49.93,1,Standard
49.99,1,Premium
50.02,2,Premium
50.03,2,Basic
50.03,2,Standard
50.06,2,Premium
50.13,2,Standard
50.16,2,Basic
50.17,2,Standard
50.18,2,Standard
50.28,2,Basic
50.3,2,Standard
50.34,2,Premium
50.36,2,Basic
50.36,2,Standard
50.39,2,Basic
50.42,2,Basic
50.42,2,Premium
50.45,2,Standard
50.47,2,Premium
50.66,2,Standard
50.67,2,Standard
50.88,2,Basic
50.91,2,Standard
50.93,2,Basic
50.97,2,Premium
51.11,2,Standard
51.17,2,Standard
51.22,2,Premium
51.25,2,Standard
51.3,2,Basic
51.31,2,Standard
51.32,2,Premium
51.57,2,Basic
51.62,2,Standard
51.65,2,Basic
51.67,2,Basic
51.71,2,Standard
51.73,2,Basic
51.74,2,Standard
51.95,2,Basic
51.96,2,Premium
52.1,2,Standard
52.11,2,Standard
52.13,2,Premium
52.25,2,Premium
52.25,2,Standard
52.27,2,Standard
52.28,2,Premium
52.31,2,Basic
52.32,2,Standard
52.38,2,Standard
52.42,2,Basic
52.46,2,Standard
52.47,2,Basic
52.49,2,Basic
52.51,2,Basic
52.55,2,Standard
52.62,2,Basic
52.63,2,Standard
52.69,2,Basic
52.71,2,Premium
52.74,2,Basic
52.75,2,Standard
52.82,2,Standard
52.91,2,Standard
52.93,2,Standard
53.02,2,Premium
53.03,2,Standard
53.1,2,Standard
53.17,2,Premium
53.18,2,Basic
53.2,2,Premium
53.24,2,Standard
53.27,2,Standard
53.28,2,Premium
53.3,2,Standard
53.31,2,Basic
53.34,2,Standard
53.39,2,Standard
53.41,2,Standard
53.43,2,Standard
53.44,2,Basic
53.44,2,Standard
53.49,2,Basic
53.51,2,Standard
53.56,2,Standard
53.59,2,Premium
53.59,2,Standard
53.65,2,Premium
53.66,2,Standard
53.67,2,Premium
53.68,2,Premium
53.72,2,Basic
53.73,2,Premium
53.79,2,Standard
53.86,2,Premium
53.87,2,Premium
54.08,2,Basic
54.09,2,Basic
54.21,2,Premium
54.25,2,Basic
54.28,2,Standard
54.34,2,Basic
54.38,2,Basic
54.38,2,Premium
54.45,2,Standard
54.57,2,Basic
54.61,2,Basic
54.61,2,Premium
54.64,2,Basic
54.66,2,Basic
54.66,2,Premium
54.68,2,Standard
54.75,2,Premium
54.78,2,Premium
54.84,2,Standard
54.85,2,Basic
54.86,2,Standard
54.88,2,Standard
54.91,2,Basic
54.99,2,Premium
55.07,2,Standard
55.08,2,Premium
55.08,2,Standard
55.15,2,Basic
55.17,2,Premium
55.18,2,Standard
55.25,2,Standard
55.28,2,Basic
55.32,2,Basic
55.45,2,Standard
55.5,2,Standard
55.67,2,Basic
55.68,2,Basic
55.79,2,Premium
55.81,2,Basic
55.86,2,Standard
55.88,2,Standard
55.89,2,Standard
55.92,2,Basic
55.92,2,Premium
55.93,2,Premium
55.94,2,Premium
56.02,2,Basic
56.02,2,Premium
56.05,2,Premium
56.06,2,Basic
56.1,2,Premium
56.17,2,Premium
56.21,2,Standard
56.22,2,Basic
56.23,2,Premium
56.24,2,Premium
56.27,2,Basic
56.33,2,Standard
56.39,2,Premium
56.41,2,Premium
56.48,2,Premium
56.51,2,Premium
56.53,2,Premium
56.56,2,Premium
56.6,2,Standard
56.65,2,Basic
56.68,2,Standard
56.76,2,Standard
56.88,2,Basic
56.89,2,Standard
56.98,2,Basic
56.99,2,Standard
57.07,2,Standard
57.11,2,Basic
57.15,2,Premium
57.19,2,Basic
57.2,2,Standard
57.36,2,Standard
57.38,2,Basic
57.39,2,Standard
57.4,2,Premium
57.43,2,Premium
57.46,2,Premium
57.46,2,Standard
57.5,2,Premium
57.57,2,Premium
57.64,2,Premium
57.75,2,Basic
57.84,2,Premium
57.87,2,Standard
57.93,2,Basic
57.98,2,Standard
58.02,2,Standard
58.04,2,Premium
58.05,2,Standard
58.06,2,Premium
58.08,2,Premium
58.14,2,Premium
58.15,2,Basic
58.22,2,Basic
58.25,2,Basic
58.32,2,Standard
58.35,2,Standard
58.38,2,Premium
58.39,2,Premium
58.46,2,Premium
58.5,2,Basic
58.5,2,Premium
58.52,2,Standard
58.56,2,Basic
58.65,2,Premium
58.69,2,Basic
58.71,2,Premium
58.76,2,Basic
58.8,2,Basic
58.84,2,Premium
58.85,2,Basic
58.87,2,Standard
58.98,2,Premium
59,2,Premium
59,2,Standard
59.02,2,Premium
59.02,2,Standard
59.05,2,Standard
59.08,2,Standard
59.12,2,Standard
59.19,2,Basic
59.19,2,Premium
59.21,2,Basic
59.28,2,Premium
59.39,2,Premium
59.48,2,Standard
59.52,2,Premium
59.58,2,Premium
59.61,2,Standard
59.63,2,Premium
59.66,2,Standard
59.73,2,Basic
59.75,2,Standard
59.83,2,Standard
59.84,2,Basic
59.87,2,Premium
59.9,2,Standard
59.92,2,Standard
59.94,2,Standard
59.95,2,Standard
60.01,2,Premium
60.04,2,Basic
60.05,2,Basic
60.07,2,Basic
60.07,2,Premium
60.13,2,Premium
60.16,2,Standard
60.26,2,Premium
60.42,2,Premium
60.44,2,Premium
60.44,2,Standard
60.45,2,Standard
60.49,2,Standard
60.56,2,Standard
60.61,2,Standard
